,Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
0,Garhwali/Narender Singh Negi - Aandi Gari.opus,1.3254528400079666,0.3231307117411449,0.49472000543360783,0.25432067466078134,11.352037119837027,1.0885407096056294,3428.1354089367,3603.371713378149,20.732036628497198,7507.533947224295,-0.0006831991502419835,0.0698332645839617
1,Garhwali/Narendra Singh Negi - Naagni Baazar.opus,1.431403007682945,0.3066040275929087,0.4801351642134346,0.24961291981953404,0.46706593997788826,-4.899724570516435,2997.9100771591898,3503.8767172882094,21.17775358178668,6211.431754631248,0.005208508600929044,0.06144312870766826
2,Garhwali/Narender Singh Negi - Madhuri Madhvi Dekho Kiran.opus,1.4793766165563003,0.35422457836697924,0.4864134782728159,0.25339136196640566,16.185678054786813,2.8471556354462115,3657.52173148954,3278.2362675267555,20.725046114048613,6998.8664077235935,0.0016292764867497996,0.09852787654604488
3,Garhwali/Preetam Bhartwan - Teri Dini Samaun.opus,1.4892057642295062,0.32266879801593634,0.49506716491744823,0.2574524045072455,0.8096761717578699,-5.421034045208365,2719.333199441045,3225.359263240889,20.854038563722927,5647.860877814545,0.002665166477893123,0.05672071141464643
4,Garhwali/Narender Singh Negi - Baith Basanti Baith Meri.opus,1.3749533527603162,0.32433507965010155,0.48532888635968047,0.25458592660673773,4.750683899265651,-1.5273031771815109,3076.273570305597,3729.0165292888896,21.81451148663923,7145.65640654352,-0.007855108598612225,0.05383281125953238
5,Garhwali/Anil Bist - Mera Baju Ranga.opus,1.2949741968868125,0.4212492319876287,0.535040016912818,0.26108787493553975,13.059153360832621,3.758487578467231,2761.215027183805,3340.884061180068,21.68417948099835,6084.636405841141,-0.00787031227193353,0.05462992180246054
6,Garhwali/Narendra Singh Negi - Phooli Jaali Jaai.opus,1.426344696021623,0.37887044942776843,0.5093791769127131,0.2534059751883897,7.889530548947151,0.18684963070827687,2294.051502698784,2666.059268345469,22.013118426608663,4646.624188112275,-0.01415351128490466,0.05322501046049197
7,Garhwali/Preetam Bhartwan - Dhaar Ma Ki Jon.opus,1.547353538981426,0.2821044254418107,0.46565553058668346,0.2523292427590427,0.8596396100925869,-5.574057809564261,3216.947293771081,3757.939151140283,22.077735588986283,7046.537003850148,-0.0029980485713217244,0.061603224281421766
8,Garhwali/Anil - Pana Piremi.opus,1.5791635865151095,0.3473966459300191,0.48605726574712105,0.2531937338458285,2.5339930012046947,-4.448057986516584,4080.536993752132,3372.5021261386537,22.14685780926766,7955.491198763997,0.0006636041967164139,0.11117354215085569
9,Garhwali/Narender Singh Negi - GMO Ki Gari Syali.opus,1.465806771103884,0.366720252432764,0.4995499697606993,0.2578032933911251,15.596929769722367,1.5847616219002512,3540.546672196298,3398.6533857338745,20.44874852170425,7257.697639585281,0.000308940683619085,0.08693949943432906
