,Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
0,bhajan/Pappu Sharma - Shyam Dhani Ke Male Main Jana.opus,1.47907578153778,0.4134820308382905,0.5711778213233348,0.2676472117154441,14.743065452997447,5.439939896923141,3458.5560498728555,3743.6197526800215,20.75493775975892,7461.687913182967,0.00668384064907774,0.07793749164519735
1,bhajan/Pappu Sharma - Hum Hain Balak Tumhare Tum Ho Malike Hamera.opus,1.4080140029753219,0.36845127059394567,0.509688586358456,0.2542884772333527,1.504370846960848,-1.5543071192836808,2736.5500526106066,3420.393902721636,20.97860819211854,5625.338419241101,-0.0069810673518253255,0.05582080231732265
2,bhajan/Ravindra Jain - Jai Shiv Shankar Jai Mahadeva.opus,1.354185550294204,0.331866836282864,0.45893680077676396,0.24423177615762132,3.400871628407188,-1.5781181460887859,3116.3093876829616,3652.7481526998436,22.286656110845875,6863.700972761238,0.014567417728459446,0.061816361939645605
3,bhajan/Sadhana Sargam - Humko Man Ki Shakti Dena.opus,1.2946799401167328,0.38036743842940024,0.44344652588289707,0.23229736994120434,4.015430699518063,-0.05791408876505092,3180.6414359157707,3034.2675341262657,21.185435493641297,6174.152082034545,-0.013995635631786204,0.08397126773992446
4,bhajan/Anup Jalota - Payoji Maine Ram Ratan Dhan.opus,1.3366159412461696,0.3728548577151756,0.4738489632593671,0.2502709521285403,1.4088171555050306,-7.184141314196588,2330.245133820993,2976.002564231865,21.043949445498466,4613.592221240464,0.007527894380633623,0.046845209813828066
5,bhajan/Naresh Pawar Bikaneri - Mila Mujhe Teri Kripa Se.opus,1.3330842478504712,0.339599803648049,0.4808388172971086,0.25000038035818967,5.19065583930984,0.4687478920155108,2123.832325652509,2505.236855486758,21.614252486441092,4323.397403769046,-3.956410929810046e-05,0.04987162941058541
6,bhajan/Anup Jalota - Hridaya Banalo Bhakto.opus,1.4321189977790598,0.3331990492450324,0.4856902137064161,0.25097466166649246,0.3150409629771398,-8.783179674970526,2157.36042630097,2168.246908815624,20.695632924162183,4416.2729541261,0.004057621834833102,0.05975198026877552
7,bhajan/Narendra Chanchal - Meri Maiya Ne.opus,1.401058378535144,0.39816002671912315,0.5150115577531197,0.25781149615138077,8.222409956819071,-2.010378166218044,1851.4770507660273,2538.272851463063,19.97790391633161,3433.0638186252268,0.010225566611045216,0.040841652034967986
8,bhajan/Kanhiya Mittal - Khatu Ji Jaane Ko Jee Lalchata Hai.opus,1.4759058110740955,0.45182782010068473,0.4932105394484473,0.2519089593612437,12.835867774456373,3.8768094103436286,2490.476788144645,3362.27391262362,21.394714304141747,5611.222555541898,0.0014821663846914994,0.04178904581534432
9,bhajan/Anup Jalota - Ae Malik Tere Bande Hum.opus,1.3225936922558372,0.36377072164855867,0.4763486236644378,0.24780839456463952,11.62343484271021,2.6857136418933343,3054.6521735101687,4035.755483778014,20.37406917813189,6591.229202433852,-0.008444812993263493,0.05420840710315256
10,bhajan/Tripti Shakya - Hamein Bhi Bulana Baba.opus,1.3646892591463458,0.36795261337261503,0.47074914362149,0.24732052234716756,6.87669020548063,0.4564394399797717,2194.5559416889632,2676.9414228053092,21.50157385823791,4558.8648410972955,-0.0019056649422134603,0.043679171367741895
11,bhajan/Sarvesh Kumar - Sai Hai Maata Sai Pita Hai.opus,1.2886513813391591,0.40644546864277115,0.4796904959600283,0.2431915797627946,4.494064436219055,2.291737776755905,2994.3375328985717,3519.3293728170133,21.067770287141016,6725.495405069553,0.005506365251480256,0.06870572408468027
