,Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
0,sufi/Rahat Fateh Ali Khan - Main Jahaan Rahoon (From Namastey London).opus,1.3464306072063545,0.33669712197066226,0.5146317610076978,0.2537671549429225,2.9361797192313257,-3.2820684068796226,2726.2623168832474,3016.6294252044063,21.61380232973457,5467.3963620981385,-0.0030202364460197796,0.061881152398829666
1,sufi/Papon - Moh Moh Ke Dhaage (Male).opus,1.1995598458980001,0.37722955451733187,0.4069692272122303,0.22720398080633405,3.7135423803467296,-2.2260719178753323,2327.715590598038,3329.480255552422,21.212252291966117,4923.799320894782,-0.01630914383371219,0.03558169180072416
2,sufi/Kamal Khan - Ishq Sufiyana (Male).opus,1.4556891459123227,0.41201311019369147,0.4506913695616528,0.2390093304221075,7.369129290682905,-0.6254365658905588,3310.715294998965,3834.352149397106,20.822943808062718,7612.2886201555975,-0.007523229422545647,0.06167037913304999
3,sufi/SalimSulaiman - Saaiyaan.opus,1.2665572076768175,0.36206947224362207,0.43661052074679735,0.23468898309655614,17.688039743585833,4.137326989748612,2128.7173486408624,2981.073212893498,20.949192707130646,4303.119630024995,-0.008596195752041989,0.039349636021466884
4,sufi/AR Rahman - Kun Faya Kun.opus,1.2568319498928426,0.38457809571472007,0.48081753151267004,0.24927864750064474,1.0747942852538912,-6.189684362533071,2894.941480043228,3446.662479370172,20.64487325489466,6187.333189727639,-0.012525261276852674,0.05492345882194295
5,sufi/Farhan Saeed - Latthay Di Chaadar.opus,1.2680199552690774,0.4103421351756766,0.4588482705166037,0.23808532358806397,7.20050600563718,1.1248071652753278,2170.7726810987488,3270.9332572584594,20.69919776125017,4686.030728815586,0.00025678131219334564,0.031547954656956013
6,sufi/Mohit Chauhan - Pee Loon.opus,1.4302459597184158,0.40599634809851043,0.4954416900077089,0.24941538856803425,8.449671612615175,0.23946489437652133,2775.377312528949,3379.6561685748443,20.348497356884074,6123.142648209041,-0.003545802607991578,0.051438911407786364
7,sufi/Quratulain Balouch - Sammi Meri Waar.opus,1.1988602478373425,0.40162419081030937,0.45615789942480334,0.23725360809709223,8.153970906151661,1.8087928923996648,2719.3587501450324,3223.2430446226517,21.377430979289322,6226.743534997611,-0.010837967894957555,0.048443270101727984
8,sufi/Pritam - Hawayein (From Jab Harry Met Sejal).opus,1.181020362179996,0.31317315008254415,0.44091491624447104,0.2360500100879181,8.62014710344573,-0.916691202895943,2213.4122063139484,3190.470035220933,20.191262396504634,4635.865693828563,-0.007456037029895108,0.03743687613378165
9,sufi/Amit Trivedi - Namo Namo.opus,1.2305370856462094,0.3953165195280813,0.4707328654816391,0.24248654986956858,10.286788659314261,2.2228768531314387,2308.5368740141685,3323.6492098473504,20.761812872458954,4824.632460503219,0.018935192050272675,0.03935925919153501
