Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
DIVINE - Roots (feat Raja Kumari).mp3,1.6776528,0.61613077,0.38284823,0.2329054977,24.654339,6.248025,2225.854394,2927.404724,18.45779788,4886.815536,0.05044200896,0.02973022183
DIVINE - Teesri Manzil.mp3,1.5158772,0.45607874,0.5151858,0.2577317199,16.647995,4.104419,2509.884458,3063.438889,18.99641767,5428.023252,0.02083340269,0.04848822697
Emiway Bantai - Emiway (Out of Sampark).mp3,1.5814847,0.5238251,0.4301827,0.2343237091,5.6155906,0.7945524,4346.14616,4072.895381,21.90319186,9214.136126,0.01136088108,0.09006635561
Emiway Bantai - Emiway-Samajh Mein Aaya Kya.mp3,1.6996883,0.37999642,0.46184027,0.2357135123,2.3094516,-4.3109875,3289.416996,3561.954228,21.17308034,7217.207827,0.03086167195,0.06532385641
Emiway Bantai - Kadak Ban.mp3,1.6281426,0.45224518,0.46596316,0.2464788065,4.908612,-2.6436374,4035.656488,3709.937758,20.76303941,8163.866372,-0.009735806504,0.09853480521
Fateh - Fame.mp3,1.4562291,0.44741902,0.28497794,0.1995293534,17.205597,4.8020473,2114.529269,2481.306446,20.9139651,4298.708442,0.04003885216,0.04318813028
Garry Sandhu - Banda Ban Ja.mp3,1.3470687,0.4163039,0.40007967,0.2257668557,10.4702215,1.0228218,2814.718656,3240.305719,20.50061657,6270.990235,-0.02308583868,0.05195132929
Garry Sandhu - Din Gaye - Acoustic Version.mp3,1.2870115,0.39438778,0.4366977,0.2376616888,9.448553,3.545285,2492.528862,3230.892901,20.93327479,5622.67989,-0.03563027565,0.04306525202
Garry Sandhu - Din Gaye.mp3,1.331109,0.4101505,0.43485162,0.238999656,14.378204,4.332358,2692.63384,3190.307854,20.88383197,5907.650775,-0.02542783607,0.04679203899
Garry Sandhu - Do Botalaan.mp3,1.6889949,0.44185346,0.5571961,0.2596014142,15.052443,3.3114789,2653.090691,2921.173957,19.43110479,5445.065166,-0.02254797347,0.05352433482
