Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
AR Rahman - Enna Sona (From OK Jaanu).opus,1.0594932,0.36122724,0.33410984,0.1909450987451299,6.0872564,-2.575323,1944.0904868408356,3026.0833703627363,19.85776967187019,4304.553546736725,0.01623792532995057,0.027979612512763784
AR Rahman - Enna Sona.opus,1.157949,0.40964994,0.39282998,0.22224963723400434,6.4362564,-0.6625306,1919.2311660171886,2948.480788810897,20.883340041164686,4205.774162297697,0.017908128374061787,0.02908117199965808
Abhijeet Srivastava - Chashni (From Bharat).opus,1.2979442,0.39700142,0.43523425,0.2387827476385596,11.314057,-0.33976537,2683.763444976774,3539.4003575215534,20.934852983902097,6067.355645191445,-0.039151155694663924,0.042845237337113
Akhil - Duniyaa (From Luka Chuppi).opus,1.2273184,0.39572233,0.38290188,0.22434071991912308,20.490963,3.6129675,1907.8521699162677,2723.221612614169,20.939605725340968,3966.557562245631,0.028172201413994517,0.03246278915788844
Akhil - Duniyaa.opus,1.2273184,0.39572233,0.38290188,0.22434071991912308,20.490963,3.6129675,1907.8521699162677,2723.221612614169,20.939605725340968,3966.557562245631,0.028172201413994517,0.03246278915788844
Akhil Sachdeva - Tera Ban Jaunga (From Kabir Singh).opus,1.1989207,0.3732661,0.40483347,0.22535971229488952,10.8575,0.39442992,2598.791525286839,3383.5615169200355,20.93974888166959,5606.773542507594,-0.011823041730445214,0.0449656620289938
Alka Yagnik - Agar Tum Saath Ho (From Tamasha).opus,1.2231935,0.34521082,0.3394241,0.19874377607505134,8.6635895,-1.2733108,1192.123398509458,1592.5757501273583,20.634193892317334,2382.2651566614377,0.013261531927322328,0.024775410868606084
Alka Yagnik - Agar Tum Saath Ho.opus,1.2231935,0.34521082,0.3394241,0.19874377607505134,8.6635895,-1.2733108,1192.123398509458,1592.5757501273583,20.634193892317334,2382.2651566614377,0.013261531927322328,0.024775410868606084
Amaal Mallik - Chale Aana (From De De Pyaar De).opus,1.1978767,0.37730113,0.39354795,0.22420791493777217,12.624108,2.34278,2884.400778637084,3784.1646381032347,21.287233169878558,6854.459148800157,-0.029726785748595382,0.04726808369394178
Amaal Mallik - Soch Na Sake.opus,1.2284207,0.35886806,0.43807155,0.23703749691636655,14.305951,3.2615623,2171.3332213560425,2911.331705517897,21.282253380690165,4821.150450734956,-0.012810456873245816,0.039334415312547846
Ami Mishra - Hasi - Female Version.opus,1.1816243,0.2798471,0.3421209,0.21121432262077278,12.57824,-1.507745,1793.707780667737,2525.1230631017856,22.201703650492313,3424.5385278204985,0.04806538195018456,0.03329635061930133
Arijit Singh - Gerua.opus,1.2588792,0.3055321,0.43243462,0.24298164496898808,14.40857,2.1107585,2548.6954981101353,3388.353866065498,21.485068120083852,5538.8052995719045,-0.003976680656653822,0.0461364551861551
Arijit Singh - Ghungroo (From War).opus,1.3594129,0.50021815,0.53009385,0.2556851458619975,15.710035,3.9895828,2591.265529520832,3317.4418470308583,19.61003910465604,5873.094126345519,-0.00248116097741029,0.042020496676169666
Arijit Singh - Itni Si Baat Hain (From Azhar).opus,1.2700399,0.36578292,0.4439032,0.24095068658766336,2.4790325,-3.3290052,3018.4302661049032,3825.316536211015,20.846340814430093,6881.70231166264,0.002961445062411271,0.047999398147512626
Arijit Singh - Kabhi Jo Baadal Barse.opus,1.139244,0.3230967,0.31190747,0.20090143857505058,7.660034,1.267836,3139.609434753814,3602.360831326414,22.05618991990662,7210.138329200248,0.024701951458605754,0.06006470861748295
Arijit Singh - Khairiyat.opus,1.186475,0.37257177,0.40379915,0.22489778056248985,12.475673,0.81940436,2275.5098501947414,3372.3606922922536,21.09294905301358,4995.656919490238,0.029292152182871373,0.03526334321345818
Arijit Singh - Pal Pal Dil Ke Paas- Title Track.opus,1.2961752,0.33666703,0.3754921,0.21997835991994807,8.241952,-1.5865836,3450.4529640550513,3829.948161375288,21.949224249123283,7907.019989996504,-0.03234449074214528,0.06486137600277767
Arijit Singh - Palat - Tera Hero Idhar Hai (From Main Tera Hero).opus,1.3766673,0.3821846,0.4805425,0.24856240139180377,6.5122204,1.4144512,4256.754545099156,4795.398543362648,21.306205281873893,9838.353929629984,-0.013818969738997176,0.07451730230841859
Arijit Singh - Raabta (Title Track) [From Raabta].opus,1.2263359,0.33169433,0.41675407,0.2349138543699743,8.618353,-0.4894429,2667.7679782315768,3304.5213644411106,21.34691073906319,5653.931768216081,0.020140302274764914,0.047366330817031586
Arijit Singh - Tujhe Kitna Chahne Lage (From Kabir Singh).opus,1.1676219,0.3615477,0.3459345,0.2119325826920557,16.662346,3.1821063,2248.859659278467,3404.815556371876,21.39163949914514,5243.100216243541,-0.04438260931804556,0.03095515901155171
Arijit Singh - Ve Maahi.opus,1.3550875,0.35672086,0.3902282,0.22585823503036093,8.627962,2.0049531,2751.2264905267775,3492.35565600271,21.243779823633062,6095.906031385333,0.09001779915955149,0.0494329403226574
Arko - Dariya.opus,1.1553293,0.34295386,0.31814083,0.20499951224794122,8.407541,-2.7397022,2640.5045781977815,3320.7829709854454,21.751160279675354,6111.331509965338,-0.023735141958783387,0.046176780378935585
Arko - Nazm Nazm.opus,1.1400108,0.3602312,0.3548631,0.20856429596273574,11.466966,0.11061784,2445.3793434260288,3144.93857995289,20.414721626297457,5481.993830156168,0.05445687051234587,0.042383575040078086
Ash King - Baarish.opus,1.1511595,0.34124094,0.3999967,0.22123725347242237,15.085965,1.0651752,2573.4815468143515,3119.5330695074394,20.136766414769838,6010.84695975384,0.04517093248567258,0.04767204915949606
Ash King - I Love You.opus,1.3353895,0.40730155,0.45441478,0.24512483003763194,16.266737,2.9134195,2395.041435134111,2991.492312134262,22.03686756642092,5796.931531809436,-0.0131590335116553,0.03977633663418103
Ash King - Nazar Na Lag Jaaye (From Stree).opus,1.2942898,0.41020393,0.44201702,0.2359836454816877,9.998065,1.5102259,2898.0532341081125,3901.855499253354,21.188098270859733,6707.600796482057,0.03161707991284716,0.04268646024653857
Atif Aslam - Dil Diyan Gallan.opus,1.2495933,0.44222197,0.37797764,0.2254616645839194,13.544469,3.3549871,1786.8789460661862,2857.280719954175,20.851693697228878,3639.5392540441485,0.017105665496904388,0.026225936032153088
Atif Aslam - Jeena Jeena (From Badlapur).opus,1.2261841,0.38074604,0.32337674,0.20473320365999134,10.180458,2.0840595,2355.6730810358617,3369.106410965566,21.656315541809093,5264.18375670007,0.03165181747438926,0.03413842653955954
Atif Aslam - O Saathi.opus,1.2706134,0.36680147,0.3574382,0.21675551299349638,10.982391,1.9361333,2691.3009564441495,3593.671125594699,21.56156788858782,6327.614265015806,0.00901652454470798,0.04711124785958904
Atif Aslam - Tere Sang Yaara.opus,1.2647597,0.35934505,0.39006594,0.2266382958777721,9.732004,-0.93507415,2124.22070311838,2786.3919232777857,21.719867736505083,4366.924699459579,-0.0031346704187860544,0.03930770870096688
Ayushmann Khurrana - Mere Liye Tum Kaafi Ho (From Shubh Mangal Zyada Saavdhan).opus,1.4586616,0.42840272,0.46907717,0.24714070287782233,16.556776,2.1987948,2843.0311396240777,3453.058763181503,20.14839643952736,6354.752772236564,-0.03301542795079228,0.05051513614578444
Ayushmann Khurrana - Nazm Nazm feat Ayushmann Khurana.opus,1.2367027,0.32917207,0.3578967,0.21161263708590305,10.785589,1.8797487,2789.6442173658997,3530.1524083034665,22.358570258760164,6428.146613010813,-0.0025920388332691803,0.047596210811332675
Badshah - Genda Phool (feat Payal Dev).opus,1.5166348,0.45807058,0.40096647,0.2358654925246973,8.75997,-1.9831902,2797.2384576485074,3475.4871573689165,19.58702049032766,6169.747585549534,-0.01680269766170378,0.04985626043767331
Dhvani Bhanushali - Vaaste.opus,1.3074626,0.37459344,0.33166745,0.2068606625018774,16.091476,4.015274,3056.0567404819526,3692.628863981617,21.298080068992025,7215.486428822805,0.01345844709117538,0.05619453028770016
Gajendra Verma - Tera Ghata.opus,1.416613,0.43890354,0.37405768,0.22295385792229877,14.232972,-0.04999394,1750.8091075814496,2549.328084562509,20.75132518163278,3528.0543712914273,-0.015343297529868745,0.027040944487493366
Javed-Mohsin - Pal.opus,1.1543783,0.30345646,0.37741143,0.21732562482517187,10.811292,-1.1375676,3196.546346566072,4227.3943441317,21.712313968250207,7589.808926069791,0.034147637020412826,0.049311991073134234
Jawad Ahmad - Samjhawan.opus,1.2574924,0.35726592,0.36281633,0.2148410478627033,3.2229288,-0.61685807,3309.34344198977,3956.5692177612905,21.57759111938402,7479.9826696313585,-0.006764221618570048,0.06168765862066364
Jigar Saraiya - Gulabi.opus,1.1774988,0.42517918,0.43303317,0.23349447580273294,6.340455,0.482689,3525.6535025579838,4280.725982458312,19.958519268271623,8277.343249262914,-0.02104538522716637,0.056212119239520575
Jubin Nautiyal - Humnava Mere.opus,1.147912,0.40090248,0.39800492,0.22149995568925201,12.580543,2.8850045,2234.586806437052,3287.2794630754684,20.705193683923795,4897.6746183206105,0.009080951747914973,0.03490212010973282
Jubin Nautiyal - Tujhe Kitna Chahein Aur (Film Version) [From Kabir Singh].opus,1.1315982,0.4083564,0.33984745,0.2018177189376445,11.661208,1.2206594,2433.9926286625073,3170.9159417242286,20.7057347179818,5310.751544377206,-0.02527642631160092,0.041419940588754416
KK - Khuda Jaane.opus,1.4702514,0.4033122,0.40466404,0.23644310124477824,9.216547,2.7227974,1715.7007326614125,2144.329376469844,21.810699764692902,3725.396956160906,-0.012515306266336271,0.03550117431592951
Karan Sehmbi - Photo (From Luka Chuppi).opus,1.3678737,0.3964321,0.3960246,0.2319329675047922,13.549289,2.0332832,2385.964866117376,3102.211703938275,20.579571454167603,5202.8261457957415,0.02780468680277871,0.041583230660937685
Kumar Sanu - Tu Mile Dil Khile - Sad.opus,1.3070333,0.32063007,0.44349718,0.24236267309174933,0.3098965,-14.037239,2530.9970130990732,2676.5487761168924,19.45301602584392,4694.40462935986,-0.011537120307757085,0.061372369603068896
Lucky Ali - Aahista Aahista.opus,1.4416127,0.4513597,0.60905725,0.26615991460491584,11.325128,4.547466,2464.602694233142,3357.382992036349,19.78002625488659,5710.326305798435,0.0137781662479904,0.038120751601089124
Meet Bros - Girl I Need You (From Baaghi) (feat Arijit Singh).opus,1.2124894,0.43573564,0.369631,0.21530139129278197,15.847749,4.2279267,2745.329313398046,3874.49623577029,21.345217934827797,6379.817064153582,0.05769297692328999,0.03949777645954327
Meet Bros - Ik Mulaqaat.opus,1.3137769,0.3403495,0.43944615,0.23991138225194641,9.479058,1.6350658,3329.39577355388,4012.6727037514715,20.663936623874626,7686.393677388124,-0.029757746051469358,0.05974100083369191
Mohit Chauhan - Tum Se Hi.opus,1.2662493,0.37172225,0.3811028,0.21372420316117724,5.365833,-1.8386457,1962.6578084490068,2225.9454595567645,19.62497155822887,4392.460222238629,-0.046112613479155094,0.04309606940804046
Neha Kakkar - Bheegi Bheegi.opus,1.1389433,0.35875678,0.40198123,0.2284531561033373,9.875302,-1.3203337,2357.965742141062,3102.1600741629263,21.897544844278986,5319.634492778766,-0.0303964500751361,0.04178164440300126
Neha Kakkar - Mile Ho Tum (Reprise).opus,1.1431509,0.31596044,0.2707654,0.18500527813811202,8.365695,-1.3273779,2278.6403251673146,2981.5703029761817,22.78755603911753,5166.046397884133,0.0006416189970531242,0.038804640932184185
Neha Kakkar - Oh Humsafar (From Oh Humsafar).opus,1.2988967,0.3619949,0.33784547,0.20983752906716002,12.009832,2.551836,2573.0921518048854,3389.0802482949493,21.692475117056535,5824.721090219497,-0.004250188304301405,0.040619105319964495
Palak Muchhal - Kaun Tujhe (From MSDhoni - The Untold Story).opus,1.1668946,0.35407957,0.39283246,0.2209688485464562,11.568778,2.4587755,2084.6241128589795,3062.93003460595,21.121591904409122,4937.086120216159,0.03535051507728158,0.034073622154057404
